Ticket-ID;Titel;Phase;Typ;Priorität;Startdatum;Enddatum;Dauer (Tage);Abhängigkeit;Meilenstein;Verantwortlich;Fortschritt (%)
;;;;;;;;;;;
EMRGPT-P0;Phase 0: Vorprojekt-Abschluss;Phase 0;Epic;Critical;2026-02-23;2026-06-26;124;;;PM;0
EMRGPT-P0-001;Vorprojekt-Ergebnisse konsolidieren und QA;Phase 0;Story;Critical;2026-02-23;2026-03-20;25;;M0.1;PM;0
EMRGPT-P0-002;Qualitätsanalyse aller Konzeptdokumente;Phase 0;Task;Major;2026-02-23;2026-03-06;11;;M0.1;PM;0
EMRGPT-P0-003;PSP-Vollständigkeitsprüfung;Phase 0;Task;Major;2026-03-02;2026-03-13;11;EMRGPT-P0-002;M0.1;PM;0
EMRGPT-P0-004;Averbis/Meierhofer-Angebot einholen;Phase 0;Story;Critical;2026-02-23;2026-03-27;32;;M0.2;PM;0
EMRGPT-P0-005;Anfrage an Meierhofer senden;Phase 0;Task;Major;2026-02-23;2026-02-27;4;;M0.2;PM;0
EMRGPT-P0-006;Variantenvergleich finalisieren;Phase 0;Task;Critical;2026-03-16;2026-03-27;11;EMRGPT-P0-005;M0.2;PM;0
EMRGPT-P0-007;Kostenseite Business Case fertigstellen;Phase 0;Story;Critical;2026-03-02;2026-04-17;46;EMRGPT-P0-004;M0.3;Controlling;0
EMRGPT-P0-008;IT-Infrastruktur-Sizing;Phase 0;Task;Major;2026-03-02;2026-04-03;32;;M0.3;IT-Infra;0
EMRGPT-P0-009;Kostengerüst mit Werten befüllen;Phase 0;Task;Critical;2026-03-30;2026-04-17;18;EMRGPT-P0-008;M0.3;Controlling;0
EMRGPT-P0-010;LA-Entscheidungsvorlage erstellen;Phase 0;Story;Blocker;2026-04-06;2026-04-24;18;EMRGPT-P0-001;M0.4;PM;0
EMRGPT-P0-011;Management-Entscheidungsvorlage aufbereiten;Phase 0;Task;Critical;2026-04-06;2026-04-17;11;EMRGPT-P0-001;M0.4;PM;0
EMRGPT-P0-012;LA-Präsentation durchführen;Phase 0;Task;Critical;2026-04-13;2026-04-24;11;EMRGPT-P0-011;M0.4;PM;0
EMRGPT-P0-013;Projektleiter installieren;Phase 0;Story;Critical;2026-04-20;2026-05-29;39;EMRGPT-P0-010;M0.5;Auftraggeber;0
EMRGPT-P0-014;Stellenausschreibung PL;Phase 0;Task;Major;2026-04-20;2026-05-08;18;EMRGPT-P0-010;M0.5;HR;0
EMRGPT-P0-015;Projektteam-Setup und Kick-off;Phase 0;Task;Major;2026-05-11;2026-05-29;18;EMRGPT-P0-014;M0.5;PL;0
EMRGPT-P0-016;Vorprojekt formal abschließen;Phase 0;Story;Major;2026-05-25;2026-06-26;32;;M0.6;Auftraggeber;0
EMRGPT-P0-017;Abnahmedokument Vorprojekt erstellen;Phase 0;Task;Major;2026-05-25;2026-06-12;18;EMRGPT-P0-001;M0.6;PM;0
EMRGPT-P0-018;Formale Abnahme einholen;Phase 0;Task;Major;2026-06-15;2026-06-26;11;EMRGPT-P0-017;M0.6;Auftraggeber;0
EMRGPT-P0-019;Fachliche Anforderungen abstimmen;Phase 0;Task;Critical;2026-02-23;2026-03-27;32;;M0.1;Fachbereich;0
EMRGPT-P0-020;Formale Risikobewertung erstellen;Phase 0;Task;Major;2026-03-02;2026-03-27;25;;M0.1;PM;0
;;;;;;;;;;;
EMRGPT-P1;Phase 1: Infrastruktur und Archiv-Migration;Phase 1;Epic;Blocker;2026-05-04;2026-09-25;144;;;IT;0
EMRGPT-P1-001;GPU-Infrastruktur beschaffen;Phase 1;Story;Blocker;2026-05-04;2026-06-26;53;EMRGPT-P0-010;M1.1;IT-Infra;0
EMRGPT-P1-002;GPU-Server spezifizieren;Phase 1;Task;Critical;2026-05-04;2026-05-15;11;EMRGPT-P0-008;M1.1;IT-Infra;0
EMRGPT-P1-003;Beschaffungsprozess starten;Phase 1;Task;Critical;2026-05-11;2026-06-05;25;EMRGPT-P1-002;M1.1;IT-Infra;0
EMRGPT-P1-004;GPU-Server installieren;Phase 1;Task;Major;2026-06-01;2026-06-26;25;EMRGPT-P1-003;M1.1;IT-Infra;0
EMRGPT-P1-005;Netzwerk-Segmentierung;Phase 1;Task;Major;2026-05-18;2026-06-12;25;;M1.1;IT-Netzwerk;0
EMRGPT-P1-010;SAP-DOK-Migration abschließen;Phase 1;Story;Blocker;2026-02-09;2026-06-26;137;;M1.2;IT;0
EMRGPT-P1-011;Migration 20 Jahre SAP-Dokumente überwachen;Phase 1;Task;Critical;2026-02-09;2026-05-29;109;;M1.2;IT;0
EMRGPT-P1-012;Migrationsstatus und Qualitätsstichproben;Phase 1;Task;Major;2026-03-16;2026-06-26;102;EMRGPT-P1-011;M1.2;IT;0
EMRGPT-P1-013;Migration abschließen und Vollständigkeit bestätigen;Phase 1;Task;Critical;2026-06-15;2026-06-26;11;EMRGPT-P1-011;M1.2;IT;0
EMRGPT-P1-020;OCR-Pilottest durchführen;Phase 1;Story;Critical;2026-05-04;2026-07-24;81;;M1.3;IT;0
EMRGPT-P1-021;OCR-Testkorpus definieren;Phase 1;Task;Major;2026-05-04;2026-05-15;11;;M1.3;IT;0
EMRGPT-P1-022;OCR-Verarbeitung durchführen;Phase 1;Task;Major;2026-05-18;2026-06-26;39;EMRGPT-P1-021;M1.3;IT;0
EMRGPT-P1-023;OCR-Qualitätsbericht erstellen;Phase 1;Task;Major;2026-06-29;2026-07-24;25;EMRGPT-P1-022;M1.3;IT;0
EMRGPT-P1-030;FHIR-Schnittstelle validieren (Go/No-Go);Phase 1;Story;Blocker;2026-06-01;2026-07-24;53;;M1.4;IT-Arch;0
EMRGPT-P1-031;FHIR-Testumgebung aufsetzen;Phase 1;Task;Critical;2026-06-01;2026-06-12;11;;M1.4;IT-Arch;0
EMRGPT-P1-032;FHIR Performance-Test;Phase 1;Task;Critical;2026-06-15;2026-07-10;25;EMRGPT-P1-031;M1.4;IT-Arch;0
EMRGPT-P1-033;FHIR Scope-Validierung;Phase 1;Task;Major;2026-06-15;2026-06-26;11;EMRGPT-P1-031;M1.4;IT-Arch;0
EMRGPT-P1-034;Go/No-Go-Entscheidung FHIR;Phase 1;Task;Blocker;2026-07-13;2026-07-24;11;EMRGPT-P1-032;M1.4;IT-Arch;0
EMRGPT-P1-040;M-KIS-Berechtigungskonzept;Phase 1;Story;Critical;2026-06-01;2026-08-28;88;;M1.5;Security;0
